,title,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
815,apple iphone 8 plus - 64gb 128gb 256gb - unlocked verizon - very good condition,216.99,3.0,54735.0,99.4,3.0,11,64.0,2017
816,apple iphone x 256gb verizon smartphone - good,234.95,2.0,332288.0,98.4,3.0,12,256.0,2017
817,apple iphone se (2020) a2275 64gb at&t verizon t-mobile xfinity unlocked great,174.99,1.0,5134.0,99.6,2.0,9,64.0,2016
818,apple iphone 12 (6.1-inch) a2172) t-mobile only - 64gb/red color,400.0,1.0,218.0,97.4,2.0,16,64.0,2020
819,apple iphone 6s gsm factory unlocked 64gb smartphone - excellent,104.99,4.0,119431.0,99.3,2.0,8,64.0,2015
820,apple iphone 7 plus smartphone for parts,49.99,0.0,12222.0,97.0,2.0,10,78.54110612855007,2016
821,cracked apple iphone 11 pro max - midnight green - a2161 *for parts only* ic,99.0,0.0,259.0,100.0,2.0,15,124.43806104129264,2019
823,apple iphone 7 plus 32gb factory unlocked at&t t-mobile verizon good condition,145.95,2.0,82193.0,98.4,3.0,10,32.0,2016
824,apple iphone xs max - 256gb - silver (unlocked) a1921 (cdma + gsm),399.99,5.0,7165.0,100.0,2.0,14,256.0,2018
825,apple iphone 11 pro max a2161 64/256/512gb at&t verizon t-mobile unlocked great,504.99,1.0,39862.0,99.2,2.0,15,124.43806104129264,2019
826,apple iphone 11 - 64gb 128gb 256gb (factory unlocked) black│purple│white ❖o/b❖w,438.95,5.0,25277.0,100.0,2.0,15,64.0,2019
827,apple iphone 11 pro max 512gb|256gb|64gb| gsm+cdma factory unlocked - excellent,549.88,4.0,17579.0,98.7,2.0,15,512.0,2019
828,"apple iphone 11 64gb 6.1"" 4g lte factory unlocked smartphone good",329.99,2.0,152413.0,100.0,2.0,15,64.0,2019
829,apple iphone xr - 256gb - yellow (unlocked) a1984 (cdma + gsm) - new inbox,374.99,6.0,121483.0,99.9,3.0,13,256.0,2018
830,apple iphone 13 mini 128gb - (factory unlocked) - excellent,619.99,4.0,121483.0,99.9,3.0,17,128.0,2021
831,apple iphone 11 - 64gb - factory unlocked - 4g lte smartphone - red - good!,308.95,2.0,2321.0,100.0,2.0,15,64.0,2019
832,apple iphone 11 - 64gb 128gb 256gb (factory unlocked) black red green ❖sealed❖,496.95,6.0,25277.0,100.0,2.0,15,64.0,2019
833,apple iphone 12 pro a2341 - 128gb - all colors (unlocked) - good condition ,679.99,2.0,3099278.0,98.8,2.0,16,128.0,2020
